run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
tune_def_median_preprocess_004,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_median_preprocess_004,yolo,deepfool,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,2,2,0.9107826352119446,missing,,,,
tune_def_median_preprocess_005,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_median_preprocess_005,yolo,deepfool,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,4,4,0.8618733137845993,missing,,,,
tune_def_median_preprocess_006,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_median_preprocess_006,yolo,deepfool,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,2,2,0.7956565320491791,missing,,,,
tune_def_median_preprocess_007,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_median_preprocess_007,yolo,deepfool,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,4,4,0.868216335773468,missing,,,,
validate_atk_blur,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_atk_blur,yolo,blur,none,42,legacy_unknown,,,,,,,,,,,,,500,316,540,0.7345891495545706,complete,0.3916832853763219,0.2506908167528098,0.2628640854029278,0.17781542855362328
validate_atk_deepfool,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_atk_deepfool,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,500,200,247,0.7550727896362182,complete,0.5559463880153199,0.1838829563473968,0.21877283287955243,0.15171472724888788
validate_baseline,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_baseline,yolo,none,none,42,legacy_unknown,,,,,,,,,,,,,500,466,1437,0.7647724414585196,complete,0.7134394620132785,0.5353270019589697,0.5983657680428269,0.4379871549289112
validate_blur_bit_depth,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_blur_bit_depth,yolo,blur,bit_depth,42,legacy_unknown,,,,,,,,,,,,,500,312,538,0.7338428022028345,complete,0.3808401252972243,0.2517724705853886,0.263079351970871,0.17857770804418927
validate_blur_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_blur_c_dog,yolo,blur,c_dog,42,legacy_unknown,,,,,,,,,,,,,500,206,294,0.7155206838027149,complete,0.3721227316427907,0.1619878989102919,0.1762756926379552,0.11809731315190583
validate_blur_jpeg_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_blur_jpeg_preprocess,yolo,blur,jpeg_preprocess,42,legacy_unknown,,,,,,,,,,,,,500,312,539,0.7314470576222619,complete,0.39032920636154395,0.24628741614109764,0.26046376225008566,0.17684448619603815
validate_blur_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_blur_median_preprocess,yolo,blur,median_preprocess,42,legacy_unknown,,,,,,,,,,,,,500,276,444,0.7412122751141453,complete,0.3958568744004034,0.2138769215488984,0.21733830842927665,0.14648041528321534
validate_deepfool_bit_depth,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_deepfool_bit_depth,yolo,deepfool,bit_depth,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,500,211,262,0.7366798062815921,complete,0.45702030628130896,0.1893929539547368,0.22223963746503436,0.15045026865919228
validate_deepfool_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_deepfool_c_dog,yolo,deepfool,c_dog,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,500,101,112,0.735506463263716,complete,0.49010933682408037,0.10653344363596244,0.1279944790952541,0.08226962036539015
validate_deepfool_jpeg_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_deepfool_jpeg_preprocess,yolo,deepfool,jpeg_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,500,182,224,0.7484630061579602,complete,0.4704033790278889,0.17495734595215684,0.19671543270832226,0.13137073003058425
validate_deepfool_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/validate_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,500,59,61,0.6974641465749897,complete,0.3533578842382985,0.05683928756137681,0.06492124393744772,0.04163315271942914
