run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
tune_atk_square__eps0.3__n_queries450,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square__eps0.3__n_queries450,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,7,12,0.7082261840502421,missing,,,,
tune_atk_square__eps0.3__n_queries475,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square__eps0.3__n_queries475,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,6,12,0.7894793053468069,missing,,,,
tune_atk_square__eps0.3__n_queries500,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square__eps0.3__n_queries500,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,6,9,0.7832209997706943,missing,,,,
tune_atk_square_best,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square_best,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,7,12,0.7082261840502421,missing,,,,
tune_atk_square_scan__eps0.01__n_queries100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square_scan__eps0.01__n_queries100,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,20,0.7789550960063935,missing,,,,
tune_atk_square_scan__eps0.05__n_queries275,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square_scan__eps0.05__n_queries275,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,19,0.7583031089682328,missing,,,,
tune_atk_square_scan__eps0.05__n_queries50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square_scan__eps0.05__n_queries50,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,21,0.7574843622389293,missing,,,,
tune_atk_square_scan__eps0.05__n_queries500,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square_scan__eps0.05__n_queries500,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,20,0.725477010011673,missing,,,,
tune_atk_square_scan__eps0.155__n_queries100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square_scan__eps0.155__n_queries100,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,22,0.7454878118905154,missing,,,,
tune_atk_square_scan__eps0.3__n_queries100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square_scan__eps0.3__n_queries100,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,18,0.7700716919369168,missing,,,,
tune_def_bit_depth__bits3_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth__bits3_vs_deepfool,yolo,deepfool,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,12,18,0.7876895268758138,missing,,,,
tune_def_bit_depth__bits3_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth__bits3_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,16,0.7374820336699486,missing,,,,
tune_def_bit_depth__bits4_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth__bits4_vs_deepfool,yolo,deepfool,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,16,0.7314047440886497,missing,,,,
tune_def_bit_depth__bits4_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth__bits4_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,15,0.7483748316764831,missing,,,,
tune_def_bit_depth_scan__bits3_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth_scan__bits3_vs_deepfool,yolo,deepfool,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,12,18,0.7876895268758138,missing,,,,
tune_def_bit_depth_scan__bits3_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth_scan__bits3_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,16,0.7374820336699486,missing,,,,
tune_def_bit_depth_scan__bits5_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth_scan__bits5_vs_deepfool,yolo,deepfool,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,13,0.7622396716704736,missing,,,,
tune_def_bit_depth_scan__bits5_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth_scan__bits5_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,16,0.758516900241375,missing,,,,
tune_def_bit_depth_scan__bits7_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth_scan__bits7_vs_deepfool,yolo,deepfool,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,14,0.7455947484288897,missing,,,,
tune_def_bit_depth_scan__bits7_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_bit_depth_scan__bits7_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,17,0.7353105194428388,missing,,,,
tune_def_c_dog__sharpen_alpha0.2__timestep10_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog__sharpen_alpha0.2__timestep10_vs_deepfool,yolo,deepfool,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,14,0.7809056895119804,missing,,,,
tune_def_c_dog__sharpen_alpha0.2__timestep10_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog__sharpen_alpha0.2__timestep10_vs_square,yolo,square,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,17,0.7391132116317749,missing,,,,
tune_def_c_dog__sharpen_alpha0__timestep10_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog__sharpen_alpha0__timestep10_vs_deepfool,yolo,deepfool,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,15,0.7778045972188313,missing,,,,
tune_def_c_dog__sharpen_alpha0__timestep10_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog__sharpen_alpha0__timestep10_vs_square,yolo,square,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,17,0.7436386837678797,missing,,,,
tune_def_c_dog__sharpen_alpha0__timestep25_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog__sharpen_alpha0__timestep25_vs_deepfool,yolo,deepfool,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,16,0.7552101835608482,missing,,,,
tune_def_c_dog__sharpen_alpha0__timestep25_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog__sharpen_alpha0__timestep25_vs_square,yolo,square,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,17,0.7368361809674431,missing,,,,
tune_def_c_dog_scan__sharpen_alpha0.35__timestep50_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog_scan__sharpen_alpha0.35__timestep50_vs_deepfool,yolo,deepfool,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,14,0.7738972093377795,missing,,,,
tune_def_c_dog_scan__sharpen_alpha0.35__timestep50_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog_scan__sharpen_alpha0.35__timestep50_vs_square,yolo,square,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,18,0.7372033033106062,missing,,,,
tune_def_c_dog_scan__sharpen_alpha0.7__timestep50_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog_scan__sharpen_alpha0.7__timestep50_vs_deepfool,yolo,deepfool,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,10,12,0.7886646787325541,missing,,,,
tune_def_c_dog_scan__sharpen_alpha0.7__timestep50_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog_scan__sharpen_alpha0.7__timestep50_vs_square,yolo,square,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,16,0.7329960390925407,missing,,,,
tune_def_c_dog_scan__sharpen_alpha0__timestep10_vs_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog_scan__sharpen_alpha0__timestep10_vs_deepfool,yolo,deepfool,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,15,0.7778045972188313,missing,,,,
tune_def_c_dog_scan__sharpen_alpha0__timestep10_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_def_c_dog_scan__sharpen_alpha0__timestep10_vs_square,yolo,square,c_dog,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,8,17,0.7436386837678797,missing,,,,
